report_reviewVisibility	consumer_countryCode	labels_verification_isVerified	labels_verification_verificationSource	filtered	report	report_reasons_0	report_source	reply	dates_experiencedDate	dates_updatedDate	dates_submittedDate	consumer_displayName	labels_verification_verificationLevel	source	hasUnhandledReports	id	dates_publishedDate	language	location	consumersReviewCountOnSameLocation	rating	labels_verification_hasDachExclusion	labels_verification_reviewSourceName	text	title	report_createdDateTime	consumer_id	reply_message	consumer_imageUrl	consumer_isVerified	consumer_numberOfReviews	reply_updatedDate	consumersReviewCountOnSameDomain	labels_verification_createdDateTime	reply_publishedDate	consumer_hasImage	pending	labels_merged	report_reason	likes	true_sentiment
	BE	False	invitation	False					2025-02-06T00:00:00.000Z			Nathanaël Dumortier	not-verified	Organic	False	67a4b92b595b060ad882449b	2025-02-06T15:29:15.000Z	fr			1	False	Organic	"Avant le rachat par le Crédit Agricole, il s'agissait d'une bonne banque.

Depuis lors, il n'y a plus aucune innovation, il y a des erreurs dans le calcul des intérêts des comptes épargnes, le service client est parfois compliqué à joindre et ne répond pas toujours par email.

Certains collaborateurs du service client sont en outre très désagréables. J'ai eu quelqu'un il y a cinq minutes qui m'a aboyé dessus (alors que je téléphonais de façon très cordiale) et me coupait sans arrêt avec un ton très agressif simplement car j'avais fait un virement qui n'était jamais arrivé et je voulais savoir s'il était possible de le tracer."	Keytrade, c'était bien... avant !		666c0f641916d33d0422b873	"Bonjour Monsieur Dumortier,

Merci pour vos commentaires. Votre feedback est essentiel pour améliorer nos services.

Nous sommes désolés de lire votre expérience et nous prenons des mesures pour éviter que cela ne se reproduise.

Cordialement,
Véronique de l'équipe Keytrade Bank"	https://user-images.trustpilot.com/666c0f641916d33d0422b873/73x73.png	False	2		1	2025-02-06T15:29:15.000Z	2025-02-07T17:30:56.000Z	True	False			0	Negative
	BE	False	invitation	False								Filip Bouckaert	not-verified		False	61a4ed4c8931a330873a9cd6	2021-11-29T15:10:04.000Z	nl			1	False	Organic	Absoluut rommel. Geen antwoord op klachten, trading soms onmogelijk TE VERMIJDEN	Absoluut rommel		61a4ed419004ca001215f1ff			False	1		1	2021-11-29T15:10:04.000Z		False	False			1	Negative
	BE	False	invitation	False					2024-11-13T00:00:00.000Z	2024-11-14T07:42:30.000Z		Karl Dhaveloose	not-verified		False	67352194be771cbeec27afd6	2024-11-14T00:00:52.000Z	nl			1	False	Organic	"Hieronder een onbeantwoorde mail aan Keytrade waar ik 10 jaar klant ben. Nooit zelfs geen beleefd antwoord gekregen, ook niet na een reminder weken later :
Fundamenteel ontevreden =

-	Transactiekosten omhoog
-	Transfer zicht naar beursrekening met vertraging
-	App die al meer dan een week de koershistoriek tot een maand beperkt
-	Watchlist die cruciaal is die uit je app verdwijnt om helemaal te herbeginnen


Dit is nu al een tijdje inflatie van jullie werkingskosten, traagheid van betalingen, en een app waar je rode oren van zou moeten hebben. Als dit zo blijft duren bouw ik gewoon af. Ik ben al overgeschakeld naar bolero. 

Doe er mee wat je wil, antwoorden of niet, want dat is ook al zo een hekel probleem

verder betalen ze dividenden zoals die van OCI zelfs na 2 weken ex dividend betaling niet uit.  
Shame on you Keytrade -Vermoedelijk zal Veronique van het Keytrade Team hierop vriendelijk, een automatisch gegenereerd antwoord hierop geven hoe spijtig ze dit vindt, en dat ze alles gaan doen op het op te lossen. Maar een oplossing moet je niet verwachten ! 
"	Hieronder een onbeantwoorde mail aan…		667c3f848c5d2e1430231b61	"Geachte heer Dhaveloose,

We betreuren wat u blijkbaar hebt ervaren. Een medewerker van ons team contacteert u vandaag om uw vragen te beantwoorden en oplossingen te bespreken.

Prettige dag,
Veronique van het Keytrade Bank team
 "	https://user-images.trustpilot.com/667c3f848c5d2e1430231b61/73x73.png	False	3		2	2024-11-14T00:00:52.000Z	2024-11-18T10:04:21.000Z	True	False			1	Negative
	BE	False	invitation	False					2024-09-15T00:00:00.000Z			Wouter V	not-verified		False	66e6a13b7d5045247deabb68	2024-09-15T10:56:27.000Z	nl			1	False	Organic	In augustus een gezamenlijke rekening geopend. Echter tot op de dag van vandaag lukt het ons niet om de kaart van mijn vrouw te activeren. Het lukt ook niet om met mijn eigen kaart te betalen in de winkel aangezien de pincode niet gevalideerd wordt (en nee het ligt niet aan het feit dat ik de verkeerde code ingeef). Een tweetal weken geleden via mail contact opgenomen met Keytrade voor dit op te lossen, echter tot op de dag van vandaag geen reactie gekregen. Telefonisch al tot 2x toe meer dan 30 minuten in de wachtrij gestaan.... gewoon onbegrijpelijk. Bij een laatste reminder via mail kregen we het flauwe excuus dat ze onderbezet zijn door ziekte en dat hun medewerkers de toestroom aan mails niet meer gebolwerkt krijgen. Regelrechte schande voor de dienstverlening van een bank... Mij zijn ze alvast als klant kwijt. Dus één tip blijf hier weg.	In augustus een gezamenlijke rekening…		669e1a28f4ccdcdd40e811fb	"Beste Wouter V,

Onze excuses voor wat u hebt ervaren. Wij waarderen uw geduld. Een mederwerker heeft u vandaag een e-mail gestuurd met de intructies om beide kaarten in gebruik te nemen.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"		False	1		1	2024-09-15T10:56:27.000Z	2024-09-16T09:39:13.000Z	False	False			0	Negative
	BE	False	invitation	False					2024-06-25T00:00:00.000Z			Martine	not-verified	Organic	False	667b135207f3d4b7246b1c80	2024-06-25T20:58:26.000Z	fr			1	False	Organic	"Comme l'indique une autre personne, mails hyper harcèlants et intrusifs pour fournir des données personnelles socio-économiques et financières. On vous demande pourquoi vous faites tel virement, de justifier l'origine de fonds qui proviennent d'une autre banque belge, qui a donc déjà effectué le contrôle.
Et comme a un moment j'ai décidé de ne plus leur répondre car c'est une intrusion grave dans ma vie privée, ils m'ont donné 2 mois pour transférer mon argent vers une autre banque et ils vont clôturer la relation.
Sous prétexte de la législation KYC (know your customer), ils veulent savoir ce que je fais avec MON ARGENT.
Et quand on demande de parler avec un employé de ce département, on vous dit qu'ils ne peuvent pas vous parler pour des raisons de sécurité, n'importe quoi! Que pourrais-je faire à quelqu'un qui ne me communique pas son nom?
C'est une véritable arnaque, comme cela ils ne sont pas obligés de payer la prime de fidélité sur l'épargne puisqu'ils ne me permettent pas de laisser mon argent 1 an. Ce sont des voleurs.
Fuyez cette banque!"	Banque arnaqueuse et intrusive		667b134b5fdffe3b1084ba95			False	1		1	2024-06-25T20:58:26.000Z		False	False			0	Negative
	BE	False	invitation	False						2019-11-23T14:08:39.000Z		dirk		Organic	False	5dd93d0ac84545060067b2f6	2019-11-23T14:07:06.000Z	nl			1	False	Organic	Visa kaart was geblokkeerd,  gebeld met klantendienst en laten deblokkeren.  Naar winkel en na eenmaal code ingegeven kaart weer geblokkeerd,  weer klantendienst, weer vrijgegeven en weer eenmaal geprobeerd in winkel. Zo 4x contact gehad en laatste maal werd mij gegarandeerd, echt verzekerd dat ik de kaart zou kunnen gebruiken. Ik had ze nodig om mijn borg van huurwagen te betalen. Wat denk je, weer geblokkeerd. Taxi moeten nemen. Dan een mail gestuurd, via twitter en op facebook vraag gesteld. Na een week de vraag via twitter om gebruikersnaam door re geven. Zou zeggen dat het lachwekkend is maar het is gewoon erg dat er zô prutsers de mensen moeten helpen.	Klantendienst zijn prutsers		4f846f880000640001175ef4			False	18		1	2019-11-23T14:07:06.000Z		False	False			1	Negative
	BE	False	invitation	False					2023-08-07T00:00:00.000Z			M. C.	not-verified	Organic	False	64d09aee075520cd5c88daa3	2023-08-07T09:19:10.000Z	fr			1	False	Organic	"Voilà l'info que j'ai quand je dois vendre une action avec 2 décimal derrière la virgule : ""Votre ordre ne peux pas être envoyé au marché à cause d'une mauvaise variation minimale du prix (Tick size). Veuillez réduire le nombre de décimales du prix Limit/Stop de votre ordre."" je veux vendre mon action a un prix limite de 0,015 alors quel cote 0,0144 et je peut pas le faire car j'attend depuis 5 jours qu'il corrige leur système ..... j'espère qu'il ne me ferons pas perdre trop d'argent."	5 jours et je peux toujours pas vendre mon action		5c8fdb3056e11195b0cb8505	"Bonjour M. C.,

Nous nous excusons sincèrement pour les problèmes que vous avez rencontrés. Nous travaillons sur des améliorations et vos commentaires nous aident à prioriser ces changements.

Cordialement,
Keytrade Bank"		False	2		1	2023-08-07T09:19:10.000Z	2023-09-21T14:17:53.000Z	False	False			0	Negative
	BE	False	invitation	False					2024-06-06T00:00:00.000Z			Marc Ras	not-verified	Organic	False	666185e465f2e124e69ff8e8	2024-06-06T11:48:20.000Z	nl			1	False	Organic	Na een lange wachttijd eindelijk een medewerker aan de lijn gehad met de vraag waarom mijn kaart niet aan Payconiq gelinkt wordt. Uiteindelijk krijg je een email met de nodige uitleg en het verzoek om terug te bellen als het niet lukt. Opnieuw kon de kaart niet gelinkt worden en dus opnieuw gebeld. Een ander medewerker wist dan te vertellen dat er een probleem is met de relatie Payconiq en Keytradebank. Er volgde een heel omslachtige, onbegrijpelijke uitleg ... met als resultaat : gewoon afwachten tot het probleem opgelost is. 	Keytrade & Payconiq		66507f27d11b295fd32d1b26	"Beste heer Ras,

Bedankt voor uw feedback. 
Het klopt dat uw kaart momenteel niet gelinkt kan worden aan Payconiq. 
Weet dat we aan het werken zijn om dit wel mogelijk te maken. Het zal nog enkele weken in beslag nemen. Wij waarderen uw geduld. Onze excuses voor het ongemak.

Met vriendelijke groeten,
Veronique van het Keytrade Bank team"	https://user-images.trustpilot.com/66507f27d11b295fd32d1b26/73x73.png	True	2		1	2024-06-06T11:48:20.000Z	2024-06-14T07:57:12.000Z	True	False			0	Negative
	BE	False	invitation	False								Julie 	not-verified	Organic	False	6229dafc9d31e15e378c156f	2022-03-10T11:03:24.000Z	nl			1	False	Organic	ik stelde 3 vragen aan de klantendienst, waarvan 2 dringend met indicatie van de tijdsmarge wanneer ik het antwoord nodig had. Krijg ik énkel antwoord op de niet dringende vraag. Een volgende vraag voor antwoord op mijn andere vragen werd compleet genegeerd. Ik heb nu een hoop kosten die ik perfect had kunnen vermijden indien ze mijn vragen beantwoord hadden.	slechte klantenservice		57475fbf0000ff000a23be80			False	8		1	2022-03-10T11:03:24.000Z		False	False			3	Negative
	BE	False	invitation	False								Maxence	not-verified		False	6000429c755dc109d844ed85	2021-01-14T13:09:48.000Z	fr			1	False	Organic	"Je fais le tour des banques afin de refinancer mon crédit hypothécaire, et je tombe sur keytrade. On nous vend un taux bas, pas de frais de dossier, pas d'obligation d'asrd/ass incendie. Ca a l'air top.
Le 07/12 je fais une simulation sur leur site dans 'mon espace personnel'. Le produit m'intéresse, je souhaite entrer une demande. Mais le site est buggé (dans Chrome), impossible d'encoder les données. J'envoie immédiatement un email à leur support. Le 10/12 on me répond avec un email générique que je dois encoder ma demande dans 'mon espace personnel'. Ca commence bien.. Le 13/12 j'encode la demande via Safari, la procédure est longue, beaucoup de documents à fournir, il faut installer un software additionnel pour signer, mais ok ça marche. Et puis plus rien, silence radio. J'appelle, j'envoie des mails, ça ne donne rien. Le 28/12 ma demande tombe à expiration. Le 08/01 (oui 1 mois plus tard!) ma 'gestionnaire de dossier' m'appelle pour la première fois. Super, j'ai qqn du 'business' au téléphone, je vais pouvoir poser mes questions. La personne me dit que je ne dois pas être impatient et m'indique qu'il manque un document (qui n'était pas demandé sur leur site). Ensuite je lui dis que j'ai reçu d'autres propositions de la concurrence: est-ce que Keytrade peut s'aligner ? Réponse : ah monsieur je ne sais pas, ça dépend des taux directeurs blablabla. Bref, je laisse tomber keytrade, ça devient trop n'importe quoi. C'est quand même dingue: le client vient à eux avec un dossier solide, prend du temps pour trouver un workaround à leurs problèmes techniques, prend l'initiative d'appeler/envoyer des mails quand la demande tombe à expiration, et au final se fait dire qu'il est impatient et n'obtient aucunes vraies réponses à ses questions légitimes."	Perte de temps		5fbb8a08f145bd001bd07af6			False	5		1	2021-01-14T13:09:48.000Z		False	False			1	Negative
